# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 2.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
1.609553e+00    1.409913e-18
1.615872e+00    1.535192e-18
1.622216e+00    1.538294e-18
1.628585e+00    1.419743e-18
1.634979e+00    1.279451e-18
1.641398e+00    1.182573e-18
1.647843e+00    1.146045e-18
1.654312e+00    1.172190e-18
1.660807e+00    1.262344e-18
1.667328e+00    1.409125e-18
1.673874e+00    1.562207e-18
1.680446e+00    1.608887e-18
1.687043e+00    1.504485e-18
1.693667e+00    1.350189e-18
1.700316e+00    1.235448e-18
1.706288e+00    1.188530e-18
1.712280e+00    1.197106e-18
1.718294e+00    1.262386e-18
1.724328e+00    1.383156e-18
1.730384e+00    1.538499e-18
1.736462e+00    1.657038e-18
1.742560e+00    1.646400e-18
1.748680e+00    1.519767e-18
1.754821e+00    1.374738e-18
1.760984e+00    1.272699e-18
1.767169e+00    1.230195e-18
1.773375e+00    1.249515e-18
1.779603e+00    1.331958e-18
1.785853e+00    1.473390e-18
1.792125e+00    1.637937e-18
1.798419e+00    1.727470e-18
1.804735e+00    1.662162e-18
1.811074e+00    1.506908e-18
1.817434e+00    1.366468e-18
1.823817e+00    1.285238e-18
1.830222e+00    1.271470e-18
1.836650e+00    1.326632e-18
1.843100e+00    1.450918e-18
1.849573e+00    1.625204e-18
1.856069e+00    1.767744e-18
1.862588e+00    1.757955e-18
1.869129e+00    1.609759e-18
1.875693e+00    1.447779e-18
1.882281e+00    1.343391e-18
1.888892e+00    1.312649e-18
1.894893e+00    1.350012e-18
1.900913e+00    1.450292e-18
1.906952e+00    1.605634e-18
1.913010e+00    1.770675e-18
1.919088e+00    1.843106e-18
1.925184e+00    1.760549e-18
1.931301e+00    1.598399e-18
1.937437e+00    1.455072e-18
1.943592e+00    1.370967e-18
1.949766e+00    1.353723e-18
1.955961e+00    1.404633e-18
1.962176e+00    1.524276e-18
1.968409e+00    1.698574e-18
1.974663e+00    1.860890e-18
1.980937e+00    1.891250e-18
1.987231e+00    1.763653e-18
1.993544e+00    1.589835e-18
1.999877e+00    1.459391e-18
2.006230e+00    1.399266e-18
2.012605e+00    1.413138e-18
2.018999e+00    1.502417e-18
2.025413e+00    1.663010e-18
2.031847e+00    1.854024e-18
2.038303e+00    1.957932e-18
2.044779e+00    1.878165e-18
2.051274e+00    1.696104e-18
2.057791e+00    1.536546e-18
2.064330e+00    1.449025e-18
2.070888e+00    1.441784e-18
2.077467e+00    1.516385e-18
