pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
K2-25,b,Transit,3.484552,,0.27,,45.7,0.29,2016-01-05,
HD 285507,b,Radial Velocity,6.0881,,0.086,0.917,42.43,0.73,2014-05-14,23.57
GJ 3470,b,Radial Velocity,3.3366487,0.031,0.017,0.043,25.2,0.51,2014-07-23,
HD 142245,b,Radial Velocity,1299.,2.77,0.09,1.9,106.38,1.69,2014-05-14,9.4
BD+15 2940,b,Radial Velocity,137.48,0.539,0.26,1.11,175.44,1.1,2014-05-14,1.71
K2-83,b,Transit,2.74697,0.03014,,,,0.48,2016-07-18,
K2-83,c,Transit,9.99767,0.07131,,,,0.48,2016-07-18,
HD 210702,b,Radial Velocity,354.8,1.2,0.094,1.9,55.93,1.68,2015-09-03,17.88
K2-108,b,Transit,4.73401,0.0573,0.18,0.18689,,1.12,2017-02-09,
2MASS J21402931+1625183 A,b,Imaging,7336.5,,0.26,20.95,25.,0.08,2014-05-14,
WISEP J121756.91+162640.2 A,b,Imaging,,8.,,22.,10.1,0.03,2014-05-14,99.
HD 231701,b,Radial Velocity,141.6,0.53,0.1,1.08,108.46,1.14,2014-11-19,9.22
alf Tau,b,Radial Velocity,628.96,1.46,0.1,6.47,20.43,1.13,2015-06-04,48.94
K2-84,b,Transit,6.4215,0.0665,,,,0.95,2016-07-18,
K2-84,c,Transit,27.86,0.1768,,,,0.95,2016-07-18,
HAT-P-23,b,Transit,1.21288287,0.02302,0.,2.07,393.,1.1,2015-03-26,
GU Psc,b,Imaging,,2000.,,11.3,48.,0.33,2014-05-14,
HD 59686 A,b,Radial Velocity,299.36,1.086,0.05,6.92,96.8,1.9,2016-08-12,10.33
TAP 26,b,Radial Velocity,10.79,0.0968,,1.66,147.,1.04,2017-02-02,
tau Boo,b,Radial Velocity,3.3124568,0.049,0.011,4.32,15.6,1.34,2015-04-16,64.12
HD 24040,b,Radial Velocity,3668.,4.92,0.04,4.01,46.51,1.18,2014-05-14,21.5
HD 114762,b,Radial Velocity,83.9151,0.353,0.3354,10.98,40.57,0.83,2014-12-17,24.65
EPIC 211822797,b,Transit,21.169619,,0.18,,181.5,0.61,2016-12-21,
11 Com,b,Radial Velocity,326.03,1.29,0.231,19.4,110.62,2.7,2014-05-14,9.04
HAT-P-39,b,Transit,3.54387,0.0509,0.,0.599,642.,1.4,2014-05-14,
HD 87646,b,Radial Velocity,13.481,0.117,0.05,12.4,73.58,1.12,2016-08-18,13.59
DP Leo,b,Eclipse Timing Variations,10220.,8.19,0.39,6.05,,0.69,2014-05-14,
HAT-P-34,b,Transit,5.452654,0.0677,0.441,3.328,257.,1.39,2014-05-14,
HD 88133,b,Radial Velocity,3.4148674,0.04691,0.05,1.02,74.46,1.18,2016-10-13,13.43
HD 131496,b,Radial Velocity,883.,2.09,0.163,2.2,121.36,1.61,2014-05-14,8.24
WASP-21,b,Transit,4.322482,0.052,0.,0.3,242.,0.89,2014-05-14,
K2-85,b,Transit,0.684533,0.01263,,,,0.57,2016-07-18,
K2-86,b,Transit,8.77683,0.077,,,,0.79,2016-07-18,
HD 219828,b,Radial Velocity,3.834887,0.045,0.059,0.06607,77.9,1.23,2016-06-03,12.83
HD 219828,c,Radial Velocity,4791.,5.96,0.8115,15.1,77.9,1.23,2016-06-03,12.83
HD 195019,b,Radial Velocity,18.20132,0.1388,0.0138,3.69,37.35,1.07,2014-07-23,26.77
K2-87,b,Transit,9.72739,0.0876,,,,0.95,2016-07-18,
HD 209458,b,Radial Velocity,3.52474859,,,,47.08,1.1,2014-08-21,21.24
EPIC 211913977,b,Transit,14.677286,,0.1,,181.5,0.8,2016-12-21,
HD 285968,b,Radial Velocity,8.7836,0.066,0.,0.026,9.42,0.45,2014-11-19,106.16
K2-95,b,Transit,10.13389,0.0653,,0.03458,172.,0.36,2016-09-08,
K2-88,b,Transit,4.6122,0.0345,,,,0.26,2016-07-18,
eps Tau,b,Radial Velocity,594.9,1.93,0.151,7.6,47.53,2.7,2014-05-14,21.04
Pr0211,c,Radial Velocity,4850.,5.5,0.71,7.79,,0.94,2016-02-11,
Pr0211,b,Radial Velocity,2.1461,0.03176,0.011,1.88,,0.94,2016-02-11,
TYC 1422-614-1,b,Radial Velocity,198.4,0.69,0.06,2.5,759.,1.15,2014-10-29,
TYC 1422-614-1,c,Radial Velocity,559.3,1.37,0.048,10.,759.,1.15,2014-10-29,
EPIC 211969807,b,Transit,1.97419,,0.18,,181.5,0.51,2016-12-21,
EPIC 211970147,b,Transit,9.915615,,0.1,,181.5,0.77,2016-12-21,
gam 1 Leo,b,Radial Velocity,428.5,1.19,0.144,8.78,38.52,1.23,2014-05-14,25.96
BD+20 2457,c,Radial Velocity,621.99,2.01,0.18,12.47,,2.8,2014-05-14,5.
BD+20 2457,b,Radial Velocity,379.63,1.45,0.15,21.42,,2.8,2014-05-14,5.
HD 10697,b,Radial Velocity,1075.2,2.131,0.099,6.21,32.6,1.11,2014-05-14,
EPIC 211990866,b,Transit,1.673916,,0.24,,181.5,1.18,2016-12-21,
Pr0201,b,Radial Velocity,4.4264,,0.,0.54,,1.23,2015-09-10,
HD 5891,b,Radial Velocity,177.11,0.76,0.066,7.6,150.6,1.91,2014-05-14,6.64
HD 81040,b,Radial Velocity,1001.7,1.94,0.526,6.86,32.56,0.96,2015-04-16,30.71
BD+20 1790,b,Radial Velocity,7.78287,0.066,0.22,6.37,25.4,0.63,2015-03-26,
HD 100655,b,Radial Velocity,157.57,0.76,0.085,1.7,140.85,2.4,2014-05-14,7.1
HD 4203,c,Radial Velocity,6700.,6.95,0.24,2.17,77.82,1.13,2014-05-14,12.85
HD 4203,b,Radial Velocity,437.05,1.1735,0.52,1.82,77.82,1.13,2014-05-14,12.85
K2-89,b,Transit,1.096026,0.01462,,,,0.35,2016-07-18,
BD+20 594,b,Transit,41.6855,0.241,0.,0.05129,152.1,0.96,2016-07-28,
HD 37124,c,Radial Velocity,885.5,1.71,0.125,0.652,33.24,0.85,2016-08-18,30.08
HD 37124,b,Radial Velocity,154.378,0.53364,0.054,0.675,33.24,0.85,2016-08-18,30.08
HD 37124,d,Radial Velocity,1862.,2.807,0.16,0.696,33.24,0.85,2016-08-18,30.08
51 Peg,b,Radial Velocity,4.230785,0.0527,0.013,0.472,15.36,1.12,2014-05-14,65.1
BD+20 274,b,Radial Velocity,578.2,1.3,0.21,4.2,,0.8,2015-09-18,
HIP 14810,d,Radial Velocity,952.,1.89,0.173,0.57,52.88,0.99,2015-05-14,18.91
HIP 14810,b,Radial Velocity,6.673855,0.0692,0.1427,3.88,52.88,0.99,2015-05-14,18.91
HIP 14810,c,Radial Velocity,147.73,0.545,0.164,1.28,52.88,0.99,2015-05-14,18.91
HR 8799,d,Imaging,37000.,24.,,10.,39.4,1.51,2014-05-14,
HR 8799,b,Imaging,170000.,68.,,7.,39.4,1.51,2014-05-14,
HR 8799,e,Imaging,18000.,14.5,,,39.4,1.51,2014-05-14,
HR 8799,c,Imaging,69000.,38.,,10.,39.4,1.51,2014-05-14,
HD 208527,b,Radial Velocity,875.5,2.1,0.08,9.9,352.11,1.6,2014-05-14,2.84
HD 3651,b,Radial Velocity,62.218,0.295,0.596,0.229,11.1,0.88,2014-05-14,
WASP-14,b,Transit,2.243752,0.036,0.091,7.341,160.,1.21,2014-05-14,
HD 108863,b,Radial Velocity,443.4,1.4,0.06,2.6,138.5,1.85,2014-05-14,7.22
K2-34,b,Transit,2.995607,0.04419,0.,1.76,377.,1.28,2016-06-03,
K2-30,b,Transit,4.098503,0.04839,0.,0.579,278.,0.9,2016-04-14,
LkCa 15,c,Imaging,,18.6,,,,,2015-12-03,
LkCa 15,b,Imaging,,14.7,,,,,2015-12-03,
K2-90,b,Transit,13.7311,0.0926,,,,0.56,2016-07-18,
K2-90,c,Transit,2.90032,0.0328,,,,0.56,2016-07-18,
HD 189733,b,Radial Velocity,2.2185752,,,,19.25,0.85,2015-04-24,51.94
HD 108874,b,Radial Velocity,395.8,1.038,0.082,1.29,68.5,0.95,2014-05-14,
HD 108874,c,Radial Velocity,1624.,2.659,0.239,0.99,68.5,0.95,2014-05-14,
2MASS J04414489+2301513,b,Imaging,,15.,,7.5,140.,0.02,2014-05-14,
WASP-56,b,Transit,4.617101,0.05458,0.,0.571,255.,1.02,2014-05-14,
HD 79498,b,Radial Velocity,1966.1,3.13,0.59,1.34,48.64,,2014-05-14,20.56
alf Ari,b,Radial Velocity,380.8,1.2,0.25,1.8,20.21,1.5,2014-05-14,49.48
HD 14067,b,Radial Velocity,1455.,3.4,0.533,7.8,163.4,2.4,2014-09-25,6.12
KELT-8,b,Transit,3.24406,0.04571,0.035,0.867,236.,1.21,2015-09-03,
K2-91,b,Transit,1.419549,0.0164,,,,0.29,2016-07-18,
HD 50554,b,Radial Velocity,1293.,2.353,0.501,4.954,31.03,1.04,2014-11-19,32.23
HAT-P-20,b,Transit,2.875317,0.0361,0.015,7.246,70.,0.76,2014-05-14,
K2-29,b,Transit,3.2588321,0.04217,0.066,0.73,185.,0.94,2016-03-24,
V830 Tau,b,Radial Velocity,4.927,0.057,,0.7,150.,1.,2016-12-01,
K2-26,b,Transit,14.5665,0.0962,,,93.,0.56,2016-01-21,
30 Ari B,b,Radial Velocity,335.1,0.995,0.289,9.88,39.43,1.16,2014-05-14,25.36
HD 116029,b,Radial Velocity,670.,1.78,0.054,2.1,110.62,1.58,2014-05-14,9.04
WASP-59,b,Transit,7.919585,0.0697,0.1,0.863,125.,0.72,2014-05-14,
FU Tau,b,Imaging,,800.,,16.,140.,0.05,2016-03-10,
HAT-P-25,b,Transit,3.652836,0.0466,0.032,0.567,297.,1.01,2014-05-14,
HD 12661,b,Radial Velocity,262.709,0.8079,0.3768,2.176,37.16,1.02,2014-11-19,26.91
HD 12661,c,Radial Velocity,1708.,2.8145,0.031,1.812,37.16,1.02,2014-11-19,26.91
K2-92,b,Transit,0.701818,0.01566,,,,1.04,2016-07-18,
HAT-P-54,b,Transit,3.799847,0.04117,0.074,0.76,135.8,0.65,2015-04-24,
KELT-4 A,b,Transit,2.9895932,0.04317,0.,0.902,210.,1.2,2016-02-25,
HD 97658,b,Radial Velocity,9.4909,0.0796,0.063,0.02473,21.3,0.75,2016-10-27,46.95
HAT-P-55,b,Transit,3.5852467,0.04604,0.139,0.582,480.,1.01,2015-06-17,
GJ 649,b,Radial Velocity,598.3,1.135,0.3,0.328,10.32,0.54,2014-05-14,96.9
HD 177830,b,Radial Velocity,406.6,1.2218,0.009,1.49,59.03,1.47,2014-05-14,16.94
HD 177830,c,Radial Velocity,110.9,0.5137,0.3,0.15,59.03,1.47,2014-05-14,16.94
mu Leo,b,Radial Velocity,357.8,1.1,0.09,2.4,40.78,1.5,2014-05-14,24.52
HD 203030,b,Imaging,,487.1,,24.09,40.85,,2014-05-14,24.48
HD 164922,b,Radial Velocity,1201.1,2.115,0.126,0.33855,22.13,0.87,2016-10-27,
HD 164922,c,Radial Velocity,75.765,0.3351,0.22,0.04059,22.13,0.87,2016-10-27,
HD 32963,b,Radial Velocity,2372.,3.41,0.07,0.7,35.24,0.94,2016-01-05,28.38
V0391 Peg,b,Pulsation Timing Variations,1170.,1.7,0.,3.2,1400.,0.5,2015-05-14,
HAT-P-31,b,Transit,5.005425,0.055,0.245,2.171,354.,1.22,2014-05-14,
DH Tau,b,Imaging,,330.,,11.,140.,0.33,2014-05-14,
HAT-P-49,b,Transit,2.691548,0.0438,0.,1.73,322.,1.54,2014-05-14,
GJ 436,b,Radial Velocity,2.64388312,0.0291,0.13827,0.07,10.23,0.47,2015-02-05,97.73
HD 145457,b,Radial Velocity,176.3,0.76,0.112,2.9,126.1,1.9,2014-05-14,7.93
eps CrB,b,Radial Velocity,417.9,1.3,0.11,6.7,70.42,1.7,2015-09-10,14.2
HAT-P-56,b,Transit,2.7908327,0.0423,0.246,2.18,310.5,1.3,2015-07-23,
HD 158038,b,Radial Velocity,521.,1.52,0.291,1.8,114.15,1.65,2014-05-14,8.76
HD 62509,b,Radial Velocity,589.64,1.64,0.02,2.3,10.34,2.1,2015-03-26,96.74
HD 188015,b,Radial Velocity,461.2,1.203,0.137,1.5,52.63,1.09,2014-07-23,19.
XO-1,b,Transit,3.94150685,0.049,0.,0.92,172.,1.03,2014-05-14,5.82
55 Cnc,d,Radial Velocity,4825.,5.503,0.019,3.878,12.53,0.91,2014-10-29,79.8
55 Cnc,e,Radial Velocity,0.736539,0.01544,,0.02542,12.53,0.91,2016-07-07,79.8
55 Cnc,f,Radial Velocity,262.,0.788,0.305,0.141,12.53,0.91,2014-10-29,79.8
55 Cnc,b,Radial Velocity,14.65152,0.115227,0.0034,0.8306,12.53,0.91,2014-10-29,79.8
55 Cnc,c,Radial Velocity,44.4175,0.241376,0.02,0.1714,12.53,0.91,2014-10-29,79.8
HD 185269,b,Radial Velocity,6.838,0.077,0.3,0.94,47.37,1.28,2014-07-23,21.11
HD 8574,b,Radial Velocity,227.,0.757,0.297,1.8,44.2,1.12,2014-05-14,
HAT-P-52,b,Transit,2.7535953,0.03694,0.047,0.818,385.,0.89,2015-11-19,
HIP 109600,b,Radial Velocity,232.08,0.706,0.163,2.68,58.6,0.87,2016-02-25,17.12
HD 156668,b,Radial Velocity,4.6455,0.05,0.,0.013,24.05,,2014-05-14,41.58
HD 9446,b,Radial Velocity,30.052,0.189,0.2,0.7,52.85,1.,2016-03-10,18.92
HD 9446,c,Radial Velocity,192.9,0.654,0.06,1.82,52.85,1.,2016-03-10,18.92
HD 164595,b,Radial Velocity,40.,0.23,0.088,0.05078,28.93,0.99,2015-09-10,34.57
omi CrB,b,Radial Velocity,187.83,0.83,0.191,1.5,84.03,2.13,2015-09-03,11.9
WASP-12,b,Transit,1.0914203,0.0234,0.,1.47,,1.43,2016-09-15,
WASP-135,b,Transit,1.4013794,0.0243,0.,1.9,300.,0.98,2015-12-03,
HD 190360,b,Radial Velocity,2915.,4.01,0.313,1.56,15.89,0.96,2014-08-21,62.92
HD 190360,c,Radial Velocity,17.111,0.1304,0.237,0.06,15.89,0.96,2014-08-21,62.92
tau Gem,b,Radial Velocity,305.5,1.17,0.031,20.6,92.51,2.3,2014-05-14,10.81
HD 17674,b,Radial Velocity,623.8,1.42,0.13,0.87,44.5,0.98,2017-03-02,22.46
HAT-P-17,b,Transit,10.338523,0.0882,0.342,0.534,90.,0.86,2014-05-14,
HAT-P-17,c,Radial Velocity,5584.,5.6,0.39,3.4,90.,0.86,2014-05-14,
KELT-6,c,Radial Velocity,1276.,2.39,0.21,3.71,222.,1.13,2015-09-03,
KELT-6,b,Transit,7.8455821,0.08,0.029,0.442,222.,1.13,2015-09-03,
WASP-11,b,Transit,3.7224747,0.0435,0.,0.487,121.7,0.83,2014-05-14,
KELT-2 A,b,Transit,4.1137912,0.05496,0.,1.522,124.22,1.31,2014-05-14,8.05
HIP 57274,c,Radial Velocity,32.03,0.178,0.05,0.40902,25.87,,2015-04-24,38.65
HIP 57274,b,Radial Velocity,8.1352,0.07,0.187,0.0365,25.87,,2015-04-24,38.65
HIP 57274,d,Radial Velocity,431.7,1.01,0.27,0.5267,25.87,,2015-03-26,38.65
HD 1605,c,Radial Velocity,2111.,3.52,0.098,3.48,84.6,1.31,2015-04-01,11.82
HD 1605,b,Radial Velocity,577.9,1.48,0.078,0.96,84.6,1.31,2015-04-01,11.82
WASP-60,b,Transit,4.3050011,0.0531,0.,0.514,400.,1.08,2014-05-14,
WASP-10,b,Transit,3.0927616,0.03781,,3.15,90.,0.75,2014-05-14,
HD 67087,b,Radial Velocity,352.2,1.08,0.17,3.06,88.81,1.36,2015-04-01,11.26
HD 67087,c,Radial Velocity,2374.,3.86,0.76,4.85,88.81,1.36,2015-04-01,11.26
KELT-16,b,Transit,0.9689951,0.02044,0.,2.75,395.26,1.21,2017-02-09,2.53
HD 214823,b,Radial Velocity,1877.,3.18,0.154,19.2,97.47,1.22,2016-05-19,10.26
HD 22781,b,Radial Velocity,528.07,1.167,0.8191,13.65,31.79,0.75,2014-05-14,31.46
HD 180314,b,Radial Velocity,396.03,1.4,0.257,22.,131.75,2.6,2015-09-10,7.59
WASP-1,b,Transit,2.5199454,0.03889,0.,0.854,408.,1.24,2014-05-14,2.45
HAT-P-38,b,Transit,4.640382,0.0523,0.067,0.267,249.,0.89,2014-05-14,
HD 13189,b,Radial Velocity,471.6,1.85,0.27,14.,300.3,,2014-05-14,0.54
HAT-P-51,b,Transit,4.2180278,0.05069,0.123,0.309,470.,0.98,2015-11-19,
HAT-P-18,b,Transit,5.508023,0.0559,0.084,0.197,166.,0.77,2014-05-14,
HD 75898,b,Radial Velocity,418.2,1.19,0.1,2.51,80.58,1.28,2015-04-16,12.41
rho CrB,b,Radial Velocity,39.8458,0.2196,0.0373,1.0449,17.24,0.89,2016-10-27,
rho CrB,c,Radial Velocity,102.54,0.4123,0.052,0.07866,17.24,0.89,2016-10-27,
KELT-7,b,Transit,2.7347749,0.04415,0.,1.28,129.,1.53,2015-06-04,
HD 155358,c,Radial Velocity,391.9,1.02,0.16,0.82,43.4,,2014-05-14,23.04
HD 155358,b,Radial Velocity,194.3,0.64,0.17,0.85,43.4,,2014-05-14,23.04
HAT-P-33,b,Transit,3.474474,0.0499,0.,0.762,387.,1.38,2014-05-14,
WASP-13,b,Transit,4.353011,0.05362,0.,0.477,155.,1.09,2014-05-14,
HD 5608,b,Radial Velocity,792.6,1.9,0.19,1.4,58.17,1.55,2015-09-03,17.19
HD 42012,b,Radial Velocity,857.5,1.67,0.2,1.6,37.1,0.83,2017-03-02,26.94
HD 87883,b,Radial Velocity,2754.,3.6,0.53,1.78,18.06,,2015-04-24,55.37
HD 187123,b,Radial Velocity,3.0965828,0.0426,0.0103,0.523,47.92,1.,2014-07-23,20.87
HD 187123,c,Radial Velocity,3810.,4.89,0.252,1.99,47.92,1.,2014-07-23,20.87
HD 8673,b,Radial Velocity,1634.,3.02,0.723,14.2,38.26,,2014-05-14,26.14
HD 178911 B,b,Radial Velocity,71.484,0.339,0.114,7.03,47.,1.01,2014-05-14,
HAT-P-19,b,Transit,4.008778,0.0466,0.067,0.292,215.,0.84,2014-05-14,
HAT-P-28,b,Transit,3.257215,0.0434,0.051,0.626,395.,1.02,2014-05-14,
HD 82886,b,Radial Velocity,705.,1.65,0.066,1.3,112.23,1.06,2014-05-14,8.91
HD 5583,b,Radial Velocity,139.35,0.53,0.076,5.78,221.,1.01,2016-02-04,
HAT-P-8,b,Transit,3.0763776,0.0487,0.,1.52,230.,1.28,2014-05-14,
kap CrB,b,Radial Velocity,1261.94,2.8,0.044,2.,30.5,1.47,2015-10-15,32.79
WASP-3,b,Transit,1.8468355,0.0315,0.003,1.98,220.,1.23,2016-12-01,
HAT-P-4,b,Transit,3.056536,0.04438,0.,0.671,314.,1.26,2014-05-14,3.19
WTS-1,b,Transit,3.352057,0.047,0.1,4.01,3200.,1.2,2014-05-14,
HD 173416,b,Radial Velocity,323.6,1.16,0.21,2.7,134.95,2.,2014-07-09,7.41
Kepler-75,b,Transit,8.8849116,0.0818,0.57,10.1,1140.,0.91,2015-01-29,
HAT-P-5,b,Transit,2.788491,0.04075,0.,1.06,340.,1.16,2014-05-14,
TrES-1,b,Transit,3.030065,0.03925,,0.752,150.,0.88,2014-10-15,
WTS-2,b,Transit,1.0187068,0.01855,0.,1.12,1000.,0.82,2015-04-24,
Kepler-745,b,Transit,9.93143556,,,,1199.,1.04,2016-05-10,
HAT-P-9,b,Transit,3.92289,0.053,0.,0.78,480.,1.28,2014-05-14,
TrES-4,b,Transit,3.55392771,0.0516,0.016,0.494,492.,1.45,2016-05-05,
Kepler-1569,b,Transit,5.79180156,,,,1050.,1.25,2016-05-10,
Kepler-748,b,Transit,7.40742793,,,,1271.,1.07,2016-05-10,
Kepler-262,c,Transit,21.853722,0.152,,,,,2014-05-14,
Kepler-262,b,Transit,13.060855,0.108,,,,,2014-05-14,
Kepler-746,b,Transit,3.48159251,,,,450.,0.91,2016-05-10,
Kepler-264,b,Transit,40.806231,0.249,,,,1.32,2014-05-14,
Kepler-264,c,Transit,140.101261,0.566,,,,1.32,2014-05-14,
Kepler-1624,b,Transit,3.29030452,,,,199.,0.5,2016-05-10,
Kepler-1299,b,Transit,19.9400874,,,,1352.,0.94,2016-05-10,
Kepler-1271,b,Transit,3.0255955,,,,885.,1.13,2016-05-10,
Kepler-1224,b,Transit,13.32351601,,,,578.,1.18,2016-05-10,
TrES-3,b,Transit,1.30618581,0.02282,0.,1.91,228.,0.93,2014-05-14,
WASP-33,b,Transit,1.2198669,0.02555,,4.1,116.14,1.5,2014-05-14,8.61
Kepler-263,c,Transit,47.332773,0.242,,,,,2014-05-14,
Kepler-263,b,Transit,16.568087,0.12,,,,,2014-05-14,
Kepler-261,c,Transit,24.570858,0.156,,,,0.87,2014-05-14,
Kepler-261,b,Transit,10.381227,0.088,,,,0.87,2014-05-14,
Kepler-356,b,Transit,4.612696,0.057,,,,0.97,2014-05-14,
Kepler-356,c,Transit,13.121632,0.115,,,,0.97,2014-05-14,
Kepler-1064,b,Transit,16.54080322,,,,374.,0.85,2016-05-10,
Kepler-156,c,Transit,15.906801,0.117,,,,,2014-05-14,
Kepler-156,b,Transit,4.973456,0.054,,,,,2014-05-14,
Kepler-1354,b,Transit,76.613377,,,,1057.,1.16,2016-05-10,
Kepler-1172,b,Transit,26.0204423,,,,1292.,0.92,2016-05-10,
Kepler-479,b,Transit,12.49341307,,,,371.,0.86,2016-05-10,
Kepler-575,b,Transit,9.37891944,,,,852.,0.97,2016-05-10,
Kepler-1521,b,Transit,47.14840805,,,,227.,0.81,2016-05-10,
Kepler-754,b,Transit,14.5596237,,,,1192.,1.06,2016-05-10,
Kepler-19,c,Transit Timing Variations,160.,,,6.,2119.,0.94,2014-05-14,
Kepler-19,b,Transit,9.2869944,,0.,0.064,2119.,0.94,2014-05-14,
Kepler-1514,b,Transit,217.8317626,,,,379.,1.21,2016-05-10,
Kepler-1124,b,Transit,2.85234897,,,,177.,0.35,2016-05-10,
Kepler-753,b,Transit,5.74772501,,,,278.,0.68,2016-05-10,
Kepler-683,b,Transit,2.53918318,,,,976.,0.96,2016-05-10,
Kepler-752,b,Transit,18.82747265,,,,1075.,0.87,2016-05-10,
Kepler-98,b,Transit,1.54168,,,0.011,,0.99,2014-05-14,
Kepler-1034,b,Transit,12.12400943,,,,706.,0.83,2016-05-10,
Kepler-766,b,Transit,6.10027804,,,,1614.,1.1,2016-05-10,
Kepler-1419,b,Transit,42.5215895,,,,1444.,1.01,2016-05-10,
Kepler-260,c,Transit,76.050178,0.332,,,,0.88,2014-05-14,
Kepler-260,b,Transit,8.187399,0.075,,,,0.88,2014-05-14,
Kepler-767,b,Transit,161.5280101,,,,1185.,0.96,2016-05-10,
Kepler-268,b,Transit,25.934138,0.18,,,,,2014-05-14,
Kepler-268,c,Transit,83.446393,0.391,,,,,2014-05-14,
Kepler-773,b,Transit,3.74910006,,,,528.,1.04,2016-05-10,
Kepler-1601,b,Transit,2.20921951,,,,660.,1.04,2016-05-10,
Kepler-771,b,Transit,8.73485836,,,,1000.,1.03,2016-05-10,
Kepler-951,b,Transit,71.52530845,,,,408.,0.77,2016-05-10,
Kepler-1484,b,Transit,30.4549136,,,,1095.,0.94,2016-05-10,
Kepler-323,b,Transit,1.678327,0.028,,,,1.09,2014-05-14,
Kepler-323,c,Transit,3.553822,0.046,,,,1.09,2014-05-14,
Kepler-1063,b,Transit,14.07971466,,,,365.,1.09,2016-05-10,
Kepler-1194,b,Transit,16.22371307,,,,616.,0.94,2016-05-10,
Kepler-489,b,Transit,17.27629612,,,,379.,0.82,2016-05-10,
Kepler-774,b,Transit,11.0895723,,,,1190.,1.57,2016-05-10,
Kepler-772,b,Transit,12.99207337,,,,689.,0.98,2016-05-10,
Kepler-454,b,Transit,10.57375339,0.0954,0.,0.02152,,1.03,2015-12-03,
Kepler-454,c,Radial Velocity,523.9,,0.0214,4.46,,1.03,2015-12-03,
Kepler-1073,c,Transit,4.02582254,,,,837.,1.,2016-05-10,
Kepler-1073,b,Transit,8.67888593,,,,837.,1.,2016-05-10,
HAT-P-14,b,Transit,4.627669,0.0606,0.107,2.232,205.,1.39,2014-05-14,
Kepler-1024,b,Transit,66.4162133,,,,1017.,0.81,2016-05-10,
Kepler-1452,b,Transit,42.913751,,,,974.,1.41,2016-05-10,
Kepler-1094,b,Transit,78.1000231,,,,1371.,1.14,2016-05-10,
Kepler-684,b,Transit,6.77030201,,,,1066.,0.89,2016-05-10,
Kepler-1550,b,Transit,225.582809,,,,1202.,1.07,2016-05-10,
Kepler-1187,b,Transit,18.87064068,,,,1029.,1.06,2016-05-10,
Kepler-405,c,Transit,29.726682,0.188,,,,,2014-05-14,
Kepler-405,b,Transit,10.613839,0.095,,,,,2014-05-14,
Kepler-24,b,Transit,8.1453,0.08,,1.6,1200.,1.03,2014-05-14,
Kepler-24,c,Transit,12.3335,0.106,,1.6,1200.,1.03,2014-05-14,
Kepler-24,e,Transit,18.998355,0.138,,,1200.,1.03,2014-05-14,
Kepler-24,d,Transit,4.244384,0.051,,,1200.,1.03,2014-05-14,
Kepler-167,b,Transit,4.3931632,0.0483,0.,,330.,0.77,2016-03-10,
Kepler-167,c,Transit,7.406114,0.0684,0.,,330.,0.77,2016-03-10,
Kepler-167,d,Transit,21.803855,0.1405,0.12,,330.,0.77,2016-03-10,
Kepler-167,e,Transit,1071.23228,1.89,0.062,,330.,0.77,2016-03-10,
HD 149026,b,Radial Velocity,2.8758911,,,0.368,78.86,1.34,2014-10-15,12.68
Kepler-418,b,Transit,86.67856,,0.2,1.1,,0.98,2014-05-28,
Kepler-769,b,Transit,7.42608998,,,,1362.,1.19,2016-05-10,
Kepler-769,c,Transit,15.9870174,,,,1362.,1.19,2016-05-10,
Kepler-383,c,Transit,31.200751,0.172,,,,0.67,2014-05-14,
Kepler-383,b,Transit,12.904532,0.095,,,,0.67,2014-05-14,
Kepler-770,b,Transit,18.92540274,,,,761.,0.94,2016-05-10,
Kepler-770,d,Transit,4.15244722,,,,761.,0.94,2016-05-10,
Kepler-770,c,Transit,1.47532231,,,,761.,0.94,2016-05-10,
Kepler-149,b,Transit,29.198943,0.184,,,,,2014-05-14,
Kepler-149,d,Transit,160.018032,0.571,,,,,2014-05-14,
Kepler-149,c,Transit,55.328328,0.281,,,,,2014-05-14,
Kepler-768,b,Transit,11.3910025,,,,795.,0.82,2016-05-10,
Kepler-1592,b,Transit,3.05710069,,,,1349.,1.18,2016-05-10,
Kepler-9,b,Transit,19.24,0.14,0.15,0.252,650.,1.07,2014-05-14,
Kepler-9,c,Transit,38.91,0.225,0.13,0.171,650.,1.07,2014-05-14,
Kepler-9,d,Transit,1.592851,0.0273,,,650.,1.07,2014-05-14,
Kepler-967,b,Transit,13.22713379,,,,499.,0.84,2016-05-10,
Kepler-967,c,Transit,198.7112502,,,,499.,0.84,2016-05-10,
Kepler-376,c,Transit,14.172327,0.115,,,,1.05,2014-05-14,
Kepler-376,b,Transit,4.920199,0.057,,,,1.05,2014-05-14,
Kepler-685,b,Transit,1.6255222,,,,1145.,1.11,2016-05-10,
Kepler-1241,b,Transit,18.5525701,,,,936.,0.84,2016-05-10,
Kepler-541,b,Transit,5.08005848,,,,1020.,1.41,2016-05-10,
Kepler-274,c,Transit,33.197861,0.204,,,,,2014-05-14,
Kepler-274,b,Transit,11.634788,0.101,,,,,2014-05-14,
Kepler-234,b,Transit,2.711506,0.04,,,,,2014-05-14,
Kepler-234,c,Transit,7.21205,0.077,,,,,2014-05-14,
Kepler-975,b,Transit,1.97034246,,,,404.,0.8,2016-05-10,
