# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 26 12:47:48 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_mass
49,BD-06 1339,3.87280000,0.042800,0.000000,0.02700,0.70
50,BD-06 1339,125.94000000,0.435000,0.310000,0.17000,0.70
51,BD-08 2823,5.60000000,0.056000,0.150000,0.04500,0.74
52,BD-08 2823,237.60000000,0.680000,0.190000,0.33000,0.74
53,BD-10 3166,3.48777000,0.045200,0.019000,0.45800,1.01
54,BD-11 4672,1667.00000000,2.280000,0.050000,0.53000,0.57
55,BD-13 2130,714.30000000,2.100000,0.210000,10.60000,2.40
56,BD-17 63,655.60000000,1.340000,0.540000,5.10000,0.74
57,CFBDSIR J145829+101343,10037.50000000,2.600000,,10.50000,0.02
58,CHXR 73,,210.000000,,12.56900,0.35
59,CT Cha,,440.000000,,17.00000,
60,CoRoT-1,1.50895570,,0.000000,1.03000,0.95
61,CoRoT-10,13.24060000,0.105500,0.530000,2.75000,0.89
62,CoRoT-11,2.99433000,0.043600,0.000000,2.33000,1.27
63,CoRoT-12,2.82804200,0.040160,0.070000,0.91700,1.08
64,CoRoT-13,4.03519000,0.051000,0.000000,1.30800,1.09
65,CoRoT-14,1.51214000,0.027000,0.000000,7.60000,1.13
66,CoRoT-16,5.35227000,0.061800,0.330000,0.53500,1.10
67,CoRoT-17,3.76810000,0.046100,0.000000,2.43000,1.04
68,CoRoT-18,1.90006930,0.029500,0.080000,3.47000,0.95
69,CoRoT-19,3.89713000,0.051800,0.047000,1.11000,1.21
70,CoRoT-2,1.74299350,0.027980,0.014300,3.47000,0.96
71,CoRoT-20,9.24285000,0.090200,0.562000,4.24000,1.14
72,CoRoT-22,9.75598000,0.092000,0.077000,0.03800,1.10
73,CoRoT-23,3.63130000,0.048000,0.160000,2.80000,1.14
74,CoRoT-24,5.11340000,0.056000,0.000000,0.01800,0.91
75,CoRoT-24,11.75900000,0.098000,0.000000,0.08800,0.91
76,CoRoT-25,4.86069000,0.057800,0.000000,0.27000,1.09
77,CoRoT-26,4.20474000,0.052600,0.000000,0.52000,1.09
78,CoRoT-27,3.57532000,0.047600,0.065000,10.39000,1.05
79,CoRoT-28,5.20851000,0.060300,0.047000,0.48400,1.01
80,CoRoT-29,2.85057000,0.038600,0.082000,0.85000,0.97
81,CoRoT-3,4.25680000,,0.000000,21.66000,1.37
82,CoRoT-4,9.20205000,0.090000,0.000000,0.72000,1.16
83,CoRoT-5,4.03789620,0.049470,0.090000,0.46700,1.00
84,CoRoT-6,8.88659300,0.085500,0.100000,2.96000,1.05
85,CoRoT-7,0.85359159,0.017016,0.000000,0.01800,0.91
86,CoRoT-7,3.69800000,0.046000,0.000000,0.02643,0.91
87,CoRoT-8,6.21229000,0.063000,0.000000,0.22000,0.88
88,CoRoT-9,95.27380000,0.407000,0.110000,0.84000,0.99
89,DENIS-P J082303.1-491201,246.36000000,0.360000,0.345000,28.50000,0.07
90,DH Tau,,330.000000,,11.00000,0.33
91,DP Leo,10220.00000000,8.190000,0.390000,6.05000,0.69
92,FU Tau,,800.000000,,16.00000,0.05
93,Fomalhaut,555530.00000000,160.000000,0.870000,,2.00
94,GJ 1132,1.62893000,,0.000000,0.00510,0.18
95,GJ 1214,1.58040456,0.014110,,0.01970,0.16
96,GJ 15 A,11.44330000,0.071700,0.000000,0.01700,0.38
97,GJ 163,8.63100000,0.061000,0.110000,0.03500,0.40
98,GJ 163,25.60000000,0.130000,0.080000,0.02400,0.40
99,GJ 163,603.00000000,1.000000,0.410000,0.07900,0.40
100,GJ 179,2288.00000000,2.410000,0.210000,0.82000,0.36
101,GJ 3021,133.71000000,0.490000,0.511000,3.37000,0.90
102,GJ 317,692.00000000,1.150000,0.110000,2.50000,0.42
103,GJ 328,4100.00000000,4.500000,0.370000,2.30000,0.69
104,GJ 3293,30.60000000,0.143400,0.070000,0.08100,0.42
105,GJ 3293,123.75000000,0.364000,0.330000,0.08100,0.42
106,GJ 3341,14.20700000,0.089000,0.310000,0.02080,0.47
107,GJ 3470,3.33664870,0.031000,0.017000,0.04300,0.51
108,GJ 3634,2.64561000,0.028700,0.080000,0.02600,0.45
109,GJ 433,7.37090000,0.058000,0.080000,0.01800,0.48
110,GJ 436,2.64388312,0.029100,0.138270,0.07000,0.47
111,GJ 504,,43.500000,,4.00000,1.22
112,GJ 581,5.36860000,0.040610,0.000000,0.04970,0.31
113,GJ 581,12.91400000,0.072100,0.000000,0.01730,0.31
114,GJ 581,3.14900000,0.028150,0.000000,0.00530,0.31
115,GJ 649,598.30000000,1.135000,0.300000,0.32800,0.54
116,GJ 667 C,7.20040000,0.050500,0.130000,0.01800,0.33
117,GJ 667 C,28.14000000,0.125000,0.020000,0.01200,0.33
118,GJ 667 C,62.24000000,0.213000,0.020000,0.00800,0.33
119,GJ 667 C,39.02600000,0.156000,0.030000,0.00800,0.33
120,GJ 667 C,256.20000000,0.549000,0.080000,0.01400,0.33
121,GJ 674,4.69380000,0.039000,0.200000,0.03500,0.35
122,GJ 676 A,1050.30000000,1.800000,0.328000,4.95000,0.71
123,GJ 676 A,3.60000000,0.041300,0.150000,0.01400,0.71
124,GJ 676 A,35.37000000,0.187000,0.240000,0.03600,0.71
125,GJ 687,38.14000000,0.163530,0.040000,0.05800,0.41
126,GJ 832,3657.00000000,3.560000,0.080000,0.68000,0.45
127,GJ 832,35.68000000,0.163000,0.180000,0.01700,0.45
128,GJ 849,1845.00000000,2.320000,0.050000,0.91000,0.49
129,GJ 86,15.76491000,0.113000,0.041600,3.91000,0.77
130,GJ 876,61.11660000,0.208317,0.032400,2.27560,0.33
131,GJ 876,30.08810000,0.129590,0.255910,0.71420,0.33
132,GJ 876,1.93778000,0.020807,0.207000,0.02100,0.33
133,GJ 876,124.26000000,0.334300,0.055000,0.04600,0.33
134,GQ Lup,,100.000000,,20.00000,0.70
135,GSC 06214-00210,,320.000000,,16.00000,0.90
136,GU Psc,,2000.000000,,11.30000,0.33
137,HAT-P-1,4.46529976,0.055610,,0.52500,1.15
138,HAT-P-11,4.88781620,0.053000,0.198000,0.08100,0.81
139,HAT-P-12,3.21305980,0.038400,0.000000,0.21100,0.73
140,HAT-P-13,2.91625000,,0.013300,0.85100,1.22
141,HAT-P-13,446.27000000,,0.661600,14.28000,1.22
142,HAT-P-14,4.62766900,0.060600,0.107000,2.23200,1.39
143,HAT-P-15,10.86350200,0.096400,0.190000,1.94600,1.01
144,HAT-P-16,2.77596000,0.041300,0.036000,4.19300,1.22
145,HAT-P-17,10.33852300,0.088200,0.342000,0.53400,0.86
146,HAT-P-17,5584.00000000,5.600000,0.390000,3.40000,0.86
147,HAT-P-18,5.50802300,0.055900,0.084000,0.19700,0.77
148,HAT-P-19,4.00877800,0.046600,0.067000,0.29200,0.84
149,HAT-P-2,5.63347290,0.068780,0.517100,9.09000,1.36
150,HAT-P-20,2.87531700,0.036100,0.015000,7.24600,0.76
151,HAT-P-21,4.12448100,0.049400,0.228000,4.06300,0.95
152,HAT-P-22,3.21222000,0.041400,0.016000,2.14700,0.92
153,HAT-P-23,1.21288287,0.023020,0.000000,2.07000,1.10
154,HAT-P-24,3.35524000,0.046500,0.067000,0.68500,1.19
155,HAT-P-25,3.65283600,0.046600,0.032000,0.56700,1.01
156,HAT-P-26,4.23451600,0.047900,0.124000,0.05900,0.82
157,HAT-P-27,3.03957700,0.040000,0.000000,0.62000,0.94
158,HAT-P-28,3.25721500,0.043400,0.051000,0.62600,1.02
159,HAT-P-29,5.72318600,0.066700,0.095000,0.77800,1.21
160,HAT-P-3,2.89973600,0.038660,0.000000,0.59100,0.92
161,HAT-P-30,2.81059500,0.041900,0.035000,0.71100,1.24
162,HAT-P-31,5.00542500,0.055000,0.245000,2.17100,1.22
163,HAT-P-32,2.15000805,0.034300,0.007200,,
164,HAT-P-33,3.47447400,0.049900,0.000000,0.76200,1.38
165,HAT-P-34,5.45265400,0.067700,0.441000,3.32800,1.39
166,HAT-P-35,3.64670600,0.049800,0.025000,1.05400,1.24
167,HAT-P-36,1.32734700,0.023800,0.063000,1.83200,1.02
168,HAT-P-37,2.79743600,0.037900,0.058000,1.16900,0.93
169,HAT-P-38,4.64038200,0.052300,0.067000,0.26700,0.89
170,HAT-P-39,3.54387000,0.050900,0.000000,0.59900,1.40
171,HAT-P-4,3.05653600,0.044380,0.000000,0.67100,1.26
172,HAT-P-40,4.45724300,0.060800,0.000000,0.61500,1.51
173,HAT-P-41,2.69404700,0.042600,0.000000,0.80000,1.42
174,HAT-P-42,4.64187800,0.057500,0.000000,1.04400,1.18
175,HAT-P-43,3.33268700,0.044300,0.000000,0.66200,1.05
176,HAT-P-44,4.30121900,0.050700,0.044000,0.35200,0.94
177,HAT-P-44,872.20000000,1.752000,0.494000,4.00000,0.94
178,HAT-P-45,3.12899200,0.045200,0.049000,0.89200,1.26
179,HAT-P-46,4.46312900,0.057700,0.123000,0.49300,1.28
180,HAT-P-49,2.69154800,0.043800,0.000000,1.73000,1.54
181,HAT-P-5,2.78849100,0.040750,0.000000,1.06000,1.16
182,HAT-P-50,3.12201090,0.045300,0.115000,1.35000,1.27
183,HAT-P-51,4.21802780,0.050690,0.123000,0.30900,0.98
184,HAT-P-52,2.75359530,0.036940,0.047000,0.81800,0.89
185,HAT-P-53,1.96162410,0.031590,0.134000,1.48400,1.09
186,HAT-P-54,3.79984700,0.041170,0.074000,0.76000,0.65
187,HAT-P-55,3.58524670,0.046040,0.139000,0.58200,1.01
188,HAT-P-56,2.79083270,0.042300,0.246000,2.18000,1.30
189,HAT-P-57,2.46529500,0.040600,0.000000,1.85000,1.47
190,HAT-P-6,3.85298500,0.052350,0.000000,1.05700,1.29
191,HAT-P-7,2.20473540,0.035500,0.000000,1.78100,1.47
192,HAT-P-8,3.07637760,0.048700,0.000000,1.52000,1.28
193,HAT-P-9,3.92289000,0.053000,0.000000,0.78000,1.28
194,HATS-1,3.44645900,0.044400,0.120000,1.85500,0.99
195,HATS-10,3.31284600,0.044910,0.501000,0.52600,1.10
196,HATS-13,3.04404990,0.040570,0.181000,0.54300,0.96
197,HATS-14,2.76676410,0.038150,0.142000,1.07100,0.97
198,HATS-17,16.25461100,0.130800,0.029000,1.33800,1.13
199,HATS-2,1.35413300,0.023000,0.000000,1.34500,0.88
200,HATS-3,3.54785100,0.048500,0.000000,1.07100,1.21
201,HATS-4,2.51672900,0.036200,0.013000,1.32300,1.00
202,HATS-5,4.76338700,0.054200,0.019000,0.23700,0.94
203,HATS-6,3.32527250,0.036230,0.000000,0.31900,0.57
204,HATS-8,3.58389300,0.046670,0.376000,0.13800,1.06
205,HATS-9,1.91530730,0.030480,0.129000,0.83700,1.03
206,HD 100546,,53.000000,,,2.40
207,HD 100655,157.57000000,0.760000,0.085000,1.70000,2.40
208,HD 100777,383.70000000,1.030000,0.360000,1.16000,1.01
209,HD 10180,5.75969000,0.064120,0.073000,0.04160,1.06
210,HD 10180,16.35700000,0.128590,0.131000,0.03780,1.06
211,HD 10180,49.74800000,0.269900,0.051000,0.08050,1.06
212,HD 10180,122.74400000,0.492900,0.119000,0.07220,1.06
213,HD 10180,604.67000000,1.427000,0.263000,0.07320,1.06
214,HD 10180,2205.00000000,3.381000,0.095000,0.20660,1.06
215,HD 101930,70.46000000,0.302000,0.110000,0.30000,0.74
216,HD 102117,20.81330000,0.153200,0.121000,0.17200,1.11
217,HD 102195,4.11377500,,0.000000,0.45000,0.87
218,HD 102272,127.58000000,0.614000,0.050000,5.90000,1.90
219,HD 102329,778.10000000,2.030000,0.211000,5.90000,1.95
220,HD 102365,122.10000000,0.460000,0.340000,0.05000,0.85
221,HD 102956,6.49500000,0.081000,0.048000,0.96000,1.68
222,HD 103197,47.84000000,0.249000,0.000000,0.09800,0.90
223,HD 103720,4.55570000,0.049800,0.086000,0.62000,0.79
224,HD 103774,5.88810000,0.070000,0.090000,0.36700,1.33
225,HD 104067,55.80600000,0.264300,0.000000,0.18600,0.79
226,HD 10442,1043.00000000,2.335000,0.110000,2.10000,1.56
227,HD 104985,199.50500000,0.950000,0.090000,8.30000,
228,HD 106252,1531.00000000,2.611000,0.482000,6.92000,1.01
229,HD 106270,2890.00000000,4.300000,0.402000,11.00000,1.32
230,HD 10647,989.20000000,2.015000,0.150000,0.94000,1.11
231,HD 106515 A,3630.00000000,4.590000,0.572000,9.61000,0.97
232,HD 106906,,650.000000,,11.00000,1.50
233,HD 10697,1075.20000000,2.131000,0.099000,6.21000,1.11
234,HD 107148,48.05600000,0.269000,0.050000,0.21000,1.12
235,HD 108147,10.89850000,0.102000,0.530000,0.26100,1.27
236,HD 108341,1129.00000000,2.000000,0.850000,3.50000,0.84
237,HD 108863,443.40000000,1.400000,0.060000,2.60000,1.85
238,HD 108874,395.80000000,1.038000,0.082000,1.29000,0.95
239,HD 108874,1624.00000000,2.659000,0.239000,0.99000,0.95
240,HD 109246,68.27000000,0.330000,0.120000,0.77000,1.01
241,HD 109271,7.85430000,0.079000,0.250000,0.05400,1.05
242,HD 109271,30.93000000,0.196000,0.150000,0.07600,1.05
243,HD 109749,5.24000000,0.063500,0.010000,0.28000,1.20
244,HD 110014,835.47700000,2.140000,0.462000,11.09000,2.17
245,HD 111232,1143.00000000,1.970000,0.200000,6.80000,0.78
246,HD 113337,324.00000000,0.920000,0.460000,2.83000,1.40
247,HD 113538,663.20000000,1.240000,0.140000,0.36000,0.58
248,HD 113538,1818.00000000,2.440000,0.200000,0.93000,0.58
249,HD 114386,937.70000000,1.650000,0.230000,1.24000,0.68
250,HD 114613,3827.00000000,5.160000,0.250000,0.48000,1.36
251,HD 114729,1114.00000000,2.110000,0.167000,0.95000,1.00
252,HD 114762,83.91510000,0.353000,0.335400,10.98000,0.83
253,HD 114783,493.70000000,1.160000,0.144000,1.10000,0.85
254,HD 11506,1627.50000000,2.708000,0.370000,4.21000,1.24
255,HD 11506,223.60000000,0.721000,0.240000,0.36000,1.24
256,HD 116029,670.00000000,1.780000,0.054000,2.10000,1.58
257,HD 117207,2597.00000000,3.790000,0.144000,1.88000,1.08
258,HD 11755,433.70000000,1.080000,0.190000,6.50000,0.90
259,HD 117618,25.82700000,0.176000,0.420000,0.17800,1.08
260,HD 118203,6.13350000,0.070000,0.309000,2.13000,1.23
261,HD 11964,1945.00000000,3.160000,0.041000,0.62200,1.12
262,HD 11964,37.91000000,0.229000,0.300000,0.07880,1.12
263,HD 11977,711.00000000,1.930000,0.400000,6.54000,1.91
264,HD 120084,2082.00000000,4.300000,0.660000,4.50000,2.39
265,HD 121504,63.33000000,0.330000,0.030000,1.22000,1.18
266,HD 12484,58.83000000,0.297000,0.070000,2.98000,1.01
267,HD 125595,9.67370000,0.080900,0.000000,0.04100,
268,HD 125612,559.40000000,1.370000,0.460000,3.00000,1.09
269,HD 125612,4.15470000,0.050000,0.270000,0.05800,1.09
270,HD 125612,3008.00000000,4.200000,0.280000,7.20000,1.09
271,HD 12648,133.60000000,0.540000,0.040000,2.90000,1.20
272,HD 12661,262.70900000,0.807900,0.376800,2.17600,1.02
273,HD 12661,1708.00000000,2.814500,0.031000,1.81200,1.02
274,HD 126614,1244.00000000,2.350000,0.410000,0.38000,1.15
275,HD 128311,453.01900000,1.084000,0.303000,1.76900,0.83
276,HD 128311,921.53800000,1.740000,0.159000,3.78900,0.83
277,HD 129445,1840.00000000,2.900000,0.700000,1.60000,
278,HD 130322,10.70871000,0.092500,0.029000,1.15000,0.92
279,HD 131496,883.00000000,2.090000,0.163000,2.20000,1.61
280,HD 131664,1951.00000000,3.170000,0.638000,18.15000,1.10
281,HD 13189,471.60000000,1.850000,0.270000,14.00000,
282,HD 132406,974.00000000,1.980000,0.340000,5.61000,
283,HD 132563,1544.00000000,2.620000,0.220000,1.49000,
284,HD 134987,258.19000000,0.810000,0.233000,1.59000,1.10
285,HD 134987,5000.00000000,5.800000,0.120000,0.82000,1.10
286,HD 136418,464.30000000,1.320000,0.255000,2.00000,1.33
287,HD 137388 A,330.00000000,0.890000,0.360000,0.22300,0.86
288,HD 13908,19.38200000,0.154000,0.020000,0.86500,1.29
289,HD 13908,931.00000000,2.030000,0.120000,5.13000,1.29
290,HD 13931,4218.00000000,5.150000,0.020000,1.88000,1.02
291,HD 139357,1125.70000000,2.360000,0.100000,9.76000,1.35
292,HD 14067,1455.00000000,3.400000,0.533000,7.80000,2.40
293,HD 141399,94.44000000,0.415000,0.040000,0.45100,1.07
294,HD 141399,201.99000000,0.689000,0.048000,1.33000,1.07
295,HD 141399,1069.80000000,2.090000,0.074000,1.18000,1.07
296,HD 141399,5000.00000000,5.000000,0.260000,0.66000,1.07
297,HD 141937,653.22000000,1.487700,0.410000,9.31600,1.03
298,HD 142,349.70000000,1.020000,0.170000,1.25000,1.23
299,HD 142,6005.00000000,6.800000,0.210000,5.30000,1.23
300,HD 142022 A,1928.00000000,3.030000,0.530000,5.10000,0.99
301,HD 142245,1299.00000000,2.770000,0.090000,1.90000,1.69
302,HD 142415,386.30000000,1.050000,0.500000,1.62000,1.03
303,HD 143105,2.19740000,0.037900,0.070000,1.21000,1.51
304,HD 143361,1057.00000000,2.000000,0.150000,3.12000,0.95
305,HD 145377,103.95000000,0.450000,0.307000,5.76000,1.12
306,HD 145457,176.30000000,0.760000,0.112000,2.90000,1.90
307,HD 145934,2730.00000000,4.600000,0.053000,2.28000,1.75
308,HD 1461,5.77152000,0.063400,0.172000,0.02026,1.02
309,HD 1461,13.50520000,0.111700,0.305000,0.01759,1.02
310,HD 147018,44.23600000,0.238800,0.468600,2.12000,0.93
311,HD 147018,1008.00000000,1.922000,0.133000,6.56000,0.93
312,HD 147513,528.40000000,1.320000,0.260000,1.21000,1.11
313,HD 148156,1027.00000000,2.450000,0.520000,0.85000,1.22
314,HD 148427,331.50000000,0.930000,0.160000,0.96000,
315,HD 149026,2.87589110,,,0.36800,1.34
316,HD 149143,4.08800000,0.052000,0.080000,1.36000,1.10
317,HD 1502,431.80000000,1.310000,0.101000,3.10000,1.61
318,HD 150706,5894.00000000,6.700000,0.380000,2.71000,1.17
319,HD 152079,2097.00000000,3.200000,0.600000,3.00000,
320,HD 152581,689.00000000,1.480000,0.074000,1.50000,0.93
321,HD 153950,499.40000000,1.280000,0.340000,2.73000,1.12
322,HD 154345,3342.00000000,4.190000,0.044000,0.94700,
323,HD 154672,163.90000000,0.600000,0.610000,5.02000,
324,HD 154857,408.60000000,1.291000,0.460000,2.24000,1.72
325,HD 154857,3452.00000000,5.360000,0.060000,2.58000,1.72
326,HD 155233,818.80000000,2.000000,0.040000,2.60000,1.69
327,HD 155358,194.30000000,0.640000,0.170000,0.85000,
328,HD 155358,391.90000000,1.020000,0.160000,0.82000,
329,HD 156279,131.05000000,0.495000,0.708000,9.71000,0.93
330,HD 156411,842.20000000,1.880000,0.220000,0.74000,1.25
331,HD 156668,4.64550000,0.050000,0.000000,0.01300,
332,HD 156846,359.55460000,1.096000,0.847850,10.57000,1.35
333,HD 158038,521.00000000,1.520000,0.291000,1.80000,1.65
334,HD 159243,12.62000000,0.110000,0.020000,1.13000,1.12
335,HD 159243,248.40000000,0.800000,0.075000,1.90000,1.12
336,HD 159868,1178.40000000,2.250000,0.010000,2.10000,1.09
337,HD 159868,352.30000000,1.000000,0.150000,0.73000,1.09
338,HD 1605,577.90000000,1.480000,0.078000,0.96000,1.31
339,HD 1605,2111.00000000,3.520000,0.098000,3.48000,1.31
340,HD 160691,643.25000000,1.497000,0.128000,1.08000,1.08
341,HD 160691,4205.80000000,5.235000,0.098500,1.81400,1.08
342,HD 160691,9.63860000,0.090940,0.172000,0.03321,1.08
343,HD 160691,310.55000000,0.921000,0.066600,0.52190,1.08
344,HD 16141,75.52300000,0.363000,0.252000,0.26000,1.12
345,HD 16175,990.00000000,2.100000,0.590000,4.40000,1.29
346,HD 162020,8.42819800,0.074000,0.277000,14.40000,0.75
347,HD 163607,75.29000000,0.360000,0.730000,0.77000,1.09
348,HD 163607,1314.00000000,2.420000,0.120000,2.29000,1.09
349,HD 16417,17.24000000,0.140000,0.200000,0.06960,1.20
350,HD 164509,282.40000000,0.875000,0.260000,0.48000,1.13
351,HD 164595,40.00000000,0.230000,0.088000,0.05078,0.99
352,HD 164604,606.40000000,1.300000,0.240000,2.70000,
353,HD 164922,1155.00000000,2.110000,0.050000,0.36000,0.94
354,HD 1666,270.00000000,0.940000,0.630000,6.43000,1.50
355,HD 166724,5144.00000000,5.420000,0.734000,3.53000,0.81
356,HD 167042,420.77000000,1.320000,0.089000,1.70000,1.50
357,HD 168443,58.11247000,0.293100,0.528830,7.65900,0.99
358,HD 168443,1749.83000000,2.837300,0.211300,17.19300,0.99
359,HD 168746,6.40400000,0.065900,0.107000,0.24800,0.93
360,HD 1690,533.00000000,1.300000,0.640000,6.10000,1.09
361,HD 169830,225.62000000,0.810000,0.310000,2.88000,1.40
362,HD 169830,2102.00000000,3.600000,0.330000,4.04000,1.40
363,HD 170469,1145.00000000,2.100000,0.110000,0.67000,1.14
364,HD 17092,359.90000000,,0.166000,4.60000,2.30
365,HD 171028,550.00000000,1.320000,0.590000,1.98000,0.99
366,HD 171238,1523.00000000,2.540000,0.400000,2.60000,0.94
367,HD 17156,21.21663000,0.161400,0.681900,3.22000,1.24
368,HD 173416,323.60000000,1.160000,0.210000,2.70000,2.00
369,HD 175167,1290.00000000,2.400000,0.540000,7.80000,
370,HD 175541,297.30000000,1.030000,0.330000,0.61000,1.65
371,HD 175607,29.01000000,,0.110000,0.02825,0.71
372,HD 177830,406.60000000,1.221800,0.009000,1.49000,1.47
373,HD 177830,110.90000000,0.513700,0.300000,0.15000,1.47
374,HD 178911 B,71.48400000,0.339000,0.114000,7.03000,1.01
375,HD 179079,14.47600000,0.121600,0.115000,0.08660,1.15
376,HD 179949,3.09251400,0.044300,0.022000,0.91600,1.21
377,HD 180314,396.03000000,1.400000,0.257000,22.00000,2.60
378,HD 180902,479.00000000,1.390000,0.090000,1.60000,1.52
379,HD 181342,562.10000000,1.650000,0.100000,2.90000,1.89
380,HD 181433,9.37430000,0.080000,0.396000,0.02400,0.78
381,HD 181433,962.00000000,1.760000,0.280000,0.64000,0.78
382,HD 181433,2172.00000000,3.000000,0.480000,0.54000,0.78
383,HD 181720,956.00000000,1.780000,0.260000,0.37000,0.92
384,HD 183263,626.50000000,1.510000,0.356700,3.67000,1.17
385,HD 183263,3070.00000000,4.350000,0.239000,3.57000,1.17
386,HD 185269,6.83800000,0.077000,0.300000,0.94000,1.28
387,HD 187085,986.00000000,2.050000,0.470000,0.75000,1.22
388,HD 187123,3.09658280,0.042600,0.010300,0.52300,1.00
389,HD 187123,3810.00000000,4.890000,0.252000,1.99000,1.00
390,HD 18742,772.00000000,1.920000,0.120000,2.70000,1.60
391,HD 188015,461.20000000,1.203000,0.137000,1.50000,1.09
392,HD 189733,2.21857520,,,,0.85
393,HD 190360,2915.00000000,4.010000,0.313000,1.56000,0.96
394,HD 190360,17.11100000,0.130400,0.237000,0.06000,0.96
395,HD 190647,1038.10000000,2.070000,0.180000,1.90000,1.10
396,HD 190984,4885.00000000,5.500000,0.570000,3.10000,0.91
397,HD 192263,24.35870000,0.153120,0.008000,0.73300,0.81
398,HD 192310,74.72000000,0.320000,0.130000,0.05320,0.80
399,HD 192310,525.80000000,1.180000,0.320000,0.07600,0.80
400,HD 192699,345.53000000,1.150000,0.129000,2.40000,1.68
401,HD 195019,18.20132000,0.138800,0.013800,3.69000,1.07
402,HD 196050,1378.00000000,2.540000,0.228000,2.90000,1.15
403,HD 196067,3638.00000000,5.020000,0.660000,6.90000,1.29
404,HD 196885,1333.00000000,2.370000,0.480000,2.58000,1.28
