# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 29 06:57:43 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN pl_name:        Planet Name
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
#
rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,pl_name,pl_massj
73,CoRoT-23,b,3.63130000,0.048000,0.160000,2.80000,600.00,1.14,CoRoT-23 b,2.80000
74,CoRoT-24,b,5.11340000,0.056000,0.000000,0.01800,600.00,0.91,CoRoT-24 b,0.01800
75,CoRoT-24,c,11.75900000,0.098000,0.000000,0.08800,600.00,0.91,CoRoT-24 c,0.08800
76,CoRoT-25,b,4.86069000,0.057800,0.000000,0.27000,1000.00,1.09,CoRoT-25 b,0.27000
77,CoRoT-26,b,4.20474000,0.052600,0.000000,0.52000,1670.00,1.09,CoRoT-26 b,0.52000
78,CoRoT-27,b,3.57532000,0.047600,0.065000,10.39000,,1.05,CoRoT-27 b,10.39000
79,CoRoT-28,b,5.20851000,0.060300,0.047000,0.48400,560.00,1.01,CoRoT-28 b,0.48400
80,CoRoT-29,b,2.85057000,0.038600,0.082000,0.85000,765.00,0.97,CoRoT-29 b,0.85000
81,CoRoT-3,b,4.25680000,,0.000000,21.66000,680.00,1.37,CoRoT-3 b,21.66000
82,CoRoT-4,b,9.20205000,0.090000,0.000000,0.72000,,1.16,CoRoT-4 b,0.72000
83,CoRoT-5,b,4.03789620,0.049470,0.090000,0.46700,,1.00,CoRoT-5 b,0.46700
84,CoRoT-6,b,8.88659300,0.085500,0.100000,2.96000,,1.05,CoRoT-6 b,2.96000
85,CoRoT-7,b,0.85359159,0.017016,0.000000,0.01800,153.70,0.91,CoRoT-7 b,0.01800
86,CoRoT-7,c,3.69800000,0.046000,0.000000,0.02643,153.70,0.91,CoRoT-7 c,0.02643
87,CoRoT-8,b,6.21229000,0.063000,0.000000,0.22000,380.00,0.88,CoRoT-8 b,0.22000
88,CoRoT-9,b,95.27380000,0.407000,0.110000,0.84000,460.00,0.99,CoRoT-9 b,0.84000
89,DENIS-P J082303.1-491201,b,246.36000000,0.360000,0.345000,28.50000,20.77,0.07,DENIS-P J082303.1-491201 b,28.50000
90,DH Tau,b,,330.000000,,11.00000,140.00,0.33,DH Tau b,11.00000
91,DP Leo,b,10220.00000000,8.190000,0.390000,6.05000,,0.69,DP Leo b,
92,FU Tau,b,,800.000000,,16.00000,140.00,0.05,FU Tau b,16.00000
93,Fomalhaut,b,555530.00000000,160.000000,0.870000,,7.69,2.00,Fomalhaut b,
94,GJ 1132,b,1.62893000,,0.000000,0.00510,12.04,0.18,GJ 1132 b,0.00510
95,GJ 1214,b,1.58040456,0.014110,,0.01970,,0.16,GJ 1214 b,0.01970
96,GJ 15 A,b,11.44330000,0.071700,0.000000,0.01700,3.57,0.38,GJ 15 A b,
97,GJ 163,b,8.63100000,0.061000,0.110000,0.03500,14.97,0.40,GJ 163 b,
98,GJ 163,c,25.60000000,0.130000,0.080000,0.02400,14.97,0.40,GJ 163 c,
99,GJ 163,d,603.00000000,1.000000,0.410000,0.07900,14.97,0.40,GJ 163 d,
100,GJ 179,b,2288.00000000,2.410000,0.210000,0.82000,12.12,0.36,GJ 179 b,
101,GJ 3021,b,133.71000000,0.490000,0.511000,3.37000,17.62,0.90,GJ 3021 b,
102,GJ 317,b,692.00000000,1.150000,0.110000,2.50000,15.10,0.42,GJ 317 b,2.50000
103,GJ 328,b,4100.00000000,4.500000,0.370000,2.30000,20.03,0.69,GJ 328 b,
104,GJ 3293,b,30.60000000,0.143400,0.070000,0.08100,,0.42,GJ 3293 b,
105,GJ 3293,c,123.75000000,0.364000,0.330000,0.08100,,0.42,GJ 3293 c,
106,GJ 3341,b,14.20700000,0.089000,0.310000,0.02080,,0.47,GJ 3341 b,
107,GJ 3470,b,3.33664870,0.031000,0.017000,0.04300,25.20,0.51,GJ 3470 b,0.04300
108,GJ 3634,b,2.64561000,0.028700,0.080000,0.02600,19.80,0.45,GJ 3634 b,0.02600
109,GJ 433,b,7.37090000,0.058000,0.080000,0.01800,9.04,0.48,GJ 433 b,
110,GJ 436,b,2.64388312,0.029100,0.138270,0.07000,10.23,0.47,GJ 436 b,0.07000
111,GJ 504,b,,43.500000,,4.00000,17.95,1.22,GJ 504 b,4.00000
112,GJ 581,b,5.36860000,0.040610,0.000000,0.04970,6.27,0.31,GJ 581 b,
113,GJ 581,c,12.91400000,0.072100,0.000000,0.01730,6.27,0.31,GJ 581 c,
114,GJ 581,e,3.14900000,0.028150,0.000000,0.00530,6.27,0.31,GJ 581 e,
115,GJ 649,b,598.30000000,1.135000,0.300000,0.32800,10.32,0.54,GJ 649 b,
116,GJ 667 C,b,7.20040000,0.050500,0.130000,0.01800,6.80,0.33,GJ 667 C b,
117,GJ 667 C,c,28.14000000,0.125000,0.020000,0.01200,6.80,0.33,GJ 667 C c,
118,GJ 667 C,e,62.24000000,0.213000,0.020000,0.00800,6.80,0.33,GJ 667 C e,
119,GJ 667 C,f,39.02600000,0.156000,0.030000,0.00800,6.80,0.33,GJ 667 C f,
120,GJ 667 C,g,256.20000000,0.549000,0.080000,0.01400,6.80,0.33,GJ 667 C g,
121,GJ 674,b,4.69380000,0.039000,0.200000,0.03500,4.54,0.35,GJ 674 b,
122,GJ 676 A,b,1050.30000000,1.800000,0.328000,4.95000,16.13,0.71,GJ 676 A b,
123,GJ 676 A,d,3.60000000,0.041300,0.150000,0.01400,16.13,0.71,GJ 676 A d,
124,GJ 676 A,e,35.37000000,0.187000,0.240000,0.03600,16.13,0.71,GJ 676 A e,
125,GJ 687,b,38.14000000,0.163530,0.040000,0.05800,4.53,0.41,GJ 687 b,
126,GJ 832,b,3657.00000000,3.560000,0.080000,0.68000,4.94,0.45,GJ 832 b,
127,GJ 832,c,35.68000000,0.163000,0.180000,0.01700,4.94,0.45,GJ 832 c,
128,GJ 849,b,1845.00000000,2.320000,0.050000,0.91000,8.77,0.49,GJ 849 b,
129,GJ 86,b,15.76491000,0.113000,0.041600,3.91000,10.91,0.77,GJ 86 b,
130,GJ 876,b,61.11660000,0.208317,0.032400,2.27560,4.70,0.33,GJ 876 b,2.27560
131,GJ 876,c,30.08810000,0.129590,0.255910,0.71420,4.70,0.33,GJ 876 c,0.71420
132,GJ 876,d,1.93778000,0.020807,0.207000,0.02100,4.70,0.33,GJ 876 d,0.02100
133,GJ 876,e,124.26000000,0.334300,0.055000,0.04600,4.70,0.33,GJ 876 e,0.04600
134,GQ Lup,b,,100.000000,,20.00000,139.00,0.70,GQ Lup b,20.00000
135,GSC 06214-00210,b,,320.000000,,16.00000,145.00,0.90,GSC 06214-00210 b,16.00000
136,GU Psc,b,,2000.000000,,11.30000,48.00,0.33,GU Psc b,11.30000
137,HAT-P-1,b,4.46529976,0.055610,,0.52500,139.00,1.15,HAT-P-1 b,0.52500
138,HAT-P-11,b,4.88781620,0.053000,0.198000,0.08100,38.00,0.81,HAT-P-11 b,0.08100
139,HAT-P-12,b,3.21305980,0.038400,0.000000,0.21100,142.50,0.73,HAT-P-12 b,0.21100
140,HAT-P-13,b,2.91625000,,0.013300,0.85100,214.00,1.22,HAT-P-13 b,0.85100
141,HAT-P-13,c,446.27000000,,0.661600,14.28000,214.00,1.22,HAT-P-13 c,
142,HAT-P-14,b,4.62766900,0.060600,0.107000,2.23200,205.00,1.39,HAT-P-14 b,2.23200
143,HAT-P-15,b,10.86350200,0.096400,0.190000,1.94600,190.00,1.01,HAT-P-15 b,1.94600
144,HAT-P-16,b,2.77596000,0.041300,0.036000,4.19300,235.00,1.22,HAT-P-16 b,4.19300
145,HAT-P-17,b,10.33852300,0.088200,0.342000,0.53400,90.00,0.86,HAT-P-17 b,0.53400
146,HAT-P-17,c,5584.00000000,5.600000,0.390000,3.40000,90.00,0.86,HAT-P-17 c,
147,HAT-P-18,b,5.50802300,0.055900,0.084000,0.19700,166.00,0.77,HAT-P-18 b,0.19700
148,HAT-P-19,b,4.00877800,0.046600,0.067000,0.29200,215.00,0.84,HAT-P-19 b,0.29200
149,HAT-P-2,b,5.63347290,0.068780,0.517100,9.09000,135.32,1.36,HAT-P-2 b,9.09000
150,HAT-P-20,b,2.87531700,0.036100,0.015000,7.24600,70.00,0.76,HAT-P-20 b,7.24600
151,HAT-P-21,b,4.12448100,0.049400,0.228000,4.06300,254.00,0.95,HAT-P-21 b,4.06300
152,HAT-P-22,b,3.21222000,0.041400,0.016000,2.14700,82.00,0.92,HAT-P-22 b,2.14700
153,HAT-P-23,b,1.21288287,0.023020,0.000000,2.07000,393.00,1.10,HAT-P-23 b,2.07000
154,HAT-P-24,b,3.35524000,0.046500,0.067000,0.68500,396.00,1.19,HAT-P-24 b,0.68500
155,HAT-P-25,b,3.65283600,0.046600,0.032000,0.56700,297.00,1.01,HAT-P-25 b,0.56700
156,HAT-P-26,b,4.23451600,0.047900,0.124000,0.05900,134.00,0.82,HAT-P-26 b,0.05900
157,HAT-P-27,b,3.03957700,0.040000,0.000000,0.62000,204.00,0.94,HAT-P-27 b,0.62000
158,HAT-P-28,b,3.25721500,0.043400,0.051000,0.62600,395.00,1.02,HAT-P-28 b,0.62600
159,HAT-P-29,b,5.72318600,0.066700,0.095000,0.77800,322.00,1.21,HAT-P-29 b,0.77800
160,HAT-P-3,b,2.89973600,0.038660,0.000000,0.59100,138.00,0.92,HAT-P-3 b,0.59100
161,HAT-P-30,b,2.81059500,0.041900,0.035000,0.71100,193.00,1.24,HAT-P-30 b,0.71100
162,HAT-P-31,b,5.00542500,0.055000,0.245000,2.17100,354.00,1.22,HAT-P-31 b,2.17100
163,HAT-P-32,b,2.15000805,0.034300,0.007200,,283.00,,HAT-P-32 b,
164,HAT-P-33,b,3.47447400,0.049900,0.000000,0.76200,387.00,1.38,HAT-P-33 b,0.76200
165,HAT-P-34,b,5.45265400,0.067700,0.441000,3.32800,257.00,1.39,HAT-P-34 b,3.32800
166,HAT-P-35,b,3.64670600,0.049800,0.025000,1.05400,535.00,1.24,HAT-P-35 b,1.05400
167,HAT-P-36,b,1.32734700,0.023800,0.063000,1.83200,317.00,1.02,HAT-P-36 b,1.83200
168,HAT-P-37,b,2.79743600,0.037900,0.058000,1.16900,411.00,0.93,HAT-P-37 b,1.16900
169,HAT-P-38,b,4.64038200,0.052300,0.067000,0.26700,249.00,0.89,HAT-P-38 b,0.26700
170,HAT-P-39,b,3.54387000,0.050900,0.000000,0.59900,642.00,1.40,HAT-P-39 b,0.59900
171,HAT-P-4,b,3.05653600,0.044380,0.000000,0.67100,314.00,1.26,HAT-P-4 b,0.67100
172,HAT-P-40,b,4.45724300,0.060800,0.000000,0.61500,501.00,1.51,HAT-P-40 b,0.61500
173,HAT-P-41,b,2.69404700,0.042600,0.000000,0.80000,344.00,1.42,HAT-P-41 b,0.80000
174,HAT-P-42,b,4.64187800,0.057500,0.000000,1.04400,447.00,1.18,HAT-P-42 b,1.04400
175,HAT-P-43,b,3.33268700,0.044300,0.000000,0.66200,542.00,1.05,HAT-P-43 b,0.66200
176,HAT-P-44,b,4.30121900,0.050700,0.044000,0.35200,363.00,0.94,HAT-P-44 b,0.35200
177,HAT-P-44,c,872.20000000,1.752000,0.494000,4.00000,363.00,0.94,HAT-P-44 c,
178,HAT-P-45,b,3.12899200,0.045200,0.049000,0.89200,305.00,1.26,HAT-P-45 b,0.89200
179,HAT-P-46,b,4.46312900,0.057700,0.123000,0.49300,296.00,1.28,HAT-P-46 b,0.49300
180,HAT-P-49,b,2.69154800,0.043800,0.000000,1.73000,322.00,1.54,HAT-P-49 b,1.73000
181,HAT-P-5,b,2.78849100,0.040750,0.000000,1.06000,340.00,1.16,HAT-P-5 b,1.06000
182,HAT-P-50,b,3.12201090,0.045300,0.115000,1.35000,497.00,1.27,HAT-P-50 b,1.35000
183,HAT-P-51,b,4.21802780,0.050690,0.123000,0.30900,470.00,0.98,HAT-P-51 b,0.30900
184,HAT-P-52,b,2.75359530,0.036940,0.047000,0.81800,385.00,0.89,HAT-P-52 b,0.81800
185,HAT-P-53,b,1.96162410,0.031590,0.134000,1.48400,719.00,1.09,HAT-P-53 b,1.48400
186,HAT-P-54,b,3.79984700,0.041170,0.074000,0.76000,135.80,0.65,HAT-P-54 b,0.76000
187,HAT-P-55,b,3.58524670,0.046040,0.139000,0.58200,480.00,1.01,HAT-P-55 b,0.58200
188,HAT-P-56,b,2.79083270,0.042300,0.246000,2.18000,310.50,1.30,HAT-P-56 b,2.18000
189,HAT-P-57,b,2.46529500,0.040600,0.000000,1.85000,303.00,1.47,HAT-P-57 b,1.85000
190,HAT-P-6,b,3.85298500,0.052350,0.000000,1.05700,261.00,1.29,HAT-P-6 b,1.05700
191,HAT-P-7,b,2.20473540,0.035500,0.000000,1.78100,320.00,1.47,HAT-P-7 b,1.78100
192,HAT-P-8,b,3.07637760,0.048700,0.000000,1.52000,230.00,1.28,HAT-P-8 b,1.52000
193,HAT-P-9,b,3.92289000,0.053000,0.000000,0.78000,480.00,1.28,HAT-P-9 b,0.78000
194,HATS-1,b,3.44645900,0.044400,0.120000,1.85500,303.00,0.99,HATS-1 b,1.85500
195,HATS-10,b,3.31284600,0.044910,0.501000,0.52600,496.00,1.10,HATS-10 b,0.52600
196,HATS-13,b,3.04404990,0.040570,0.181000,0.54300,476.00,0.96,HATS-13 b,0.54300
197,HATS-14,b,2.76676410,0.038150,0.142000,1.07100,513.00,0.97,HATS-14 b,1.07100
198,HATS-17,b,16.25461100,0.130800,0.029000,1.33800,339.00,1.13,HATS-17 b,1.33800
199,HATS-2,b,1.35413300,0.023000,0.000000,1.34500,360.00,0.88,HATS-2 b,1.34500
200,HATS-3,b,3.54785100,0.048500,0.000000,1.07100,453.00,1.21,HATS-3 b,1.07100
201,HATS-4,b,2.51672900,0.036200,0.013000,1.32300,420.00,1.00,HATS-4 b,1.32300
202,HATS-5,b,4.76338700,0.054200,0.019000,0.23700,257.00,0.94,HATS-5 b,0.23700
203,HATS-6,b,3.32527250,0.036230,0.000000,0.31900,148.40,0.57,HATS-6 b,0.31900
204,HATS-8,b,3.58389300,0.046670,0.376000,0.13800,829.00,1.06,HATS-8 b,0.13800
205,HATS-9,b,1.91530730,0.030480,0.129000,0.83700,622.00,1.03,HATS-9 b,0.83700
206,HD 100546,b,,53.000000,,,97.00,2.40,HD 100546 b,
207,HD 100655,b,157.57000000,0.760000,0.085000,1.70000,140.85,2.40,HD 100655 b,
208,HD 100777,b,383.70000000,1.030000,0.360000,1.16000,52.80,1.01,HD 100777 b,
209,HD 10180,c,5.75969000,0.064120,0.073000,0.04160,39.02,1.06,HD 10180 c,
210,HD 10180,d,16.35700000,0.128590,0.131000,0.03780,39.02,1.06,HD 10180 d,
211,HD 10180,e,49.74800000,0.269900,0.051000,0.08050,39.02,1.06,HD 10180 e,
212,HD 10180,f,122.74400000,0.492900,0.119000,0.07220,39.02,1.06,HD 10180 f,
213,HD 10180,g,604.67000000,1.427000,0.263000,0.07320,39.02,1.06,HD 10180 g,
214,HD 10180,h,2205.00000000,3.381000,0.095000,0.20660,39.02,1.06,HD 10180 h,
215,HD 101930,b,70.46000000,0.302000,0.110000,0.30000,30.50,0.74,HD 101930 b,
216,HD 102117,b,20.81330000,0.153200,0.121000,0.17200,42.00,1.11,HD 102117 b,
217,HD 102195,b,4.11377500,,0.000000,0.45000,28.98,0.87,HD 102195 b,
218,HD 102272,b,127.58000000,0.614000,0.050000,5.90000,164.20,1.90,HD 102272 b,
219,HD 102329,b,778.10000000,2.030000,0.211000,5.90000,138.50,1.95,HD 102329 b,
220,HD 102365,b,122.10000000,0.460000,0.340000,0.05000,9.24,0.85,HD 102365 b,
221,HD 102956,b,6.49500000,0.081000,0.048000,0.96000,121.07,1.68,HD 102956 b,
222,HD 103197,b,47.84000000,0.249000,0.000000,0.09800,49.33,0.90,HD 103197 b,
223,HD 103720,b,4.55570000,0.049800,0.086000,0.62000,41.60,0.79,HD 103720 b,
224,HD 103774,b,5.88810000,0.070000,0.090000,0.36700,53.08,1.33,HD 103774 b,
225,HD 104067,b,55.80600000,0.264300,0.000000,0.18600,20.82,0.79,HD 104067 b,
226,HD 10442,b,1043.00000000,2.335000,0.110000,2.10000,,1.56,HD 10442 b,
227,HD 104985,b,199.50500000,0.950000,0.090000,8.30000,102.04,,HD 104985 b,
228,HD 106252,b,1531.00000000,2.611000,0.482000,6.92000,37.40,1.01,HD 106252 b,
229,HD 106270,b,2890.00000000,4.300000,0.402000,11.00000,87.87,1.32,HD 106270 b,
230,HD 10647,b,989.20000000,2.015000,0.150000,0.94000,17.35,1.11,HD 10647 b,
231,HD 106515 A,b,3630.00000000,4.590000,0.572000,9.61000,36.36,0.97,HD 106515 A b,
232,HD 106906,b,,650.000000,,11.00000,91.83,1.50,HD 106906 b,11.00000
233,HD 10697,b,1075.20000000,2.131000,0.099000,6.21000,32.60,1.11,HD 10697 b,
234,HD 107148,b,48.05600000,0.269000,0.050000,0.21000,51.26,1.12,HD 107148 b,
235,HD 108147,b,10.89850000,0.102000,0.530000,0.26100,38.56,1.27,HD 108147 b,
236,HD 108341,b,1129.00000000,2.000000,0.850000,3.50000,49.40,0.84,HD 108341 b,
237,HD 108863,b,443.40000000,1.400000,0.060000,2.60000,138.50,1.85,HD 108863 b,
238,HD 108874,b,395.80000000,1.038000,0.082000,1.29000,68.50,0.95,HD 108874 b,
239,HD 108874,c,1624.00000000,2.659000,0.239000,0.99000,68.50,0.95,HD 108874 c,
240,HD 109246,b,68.27000000,0.330000,0.120000,0.77000,65.60,1.01,HD 109246 b,
241,HD 109271,b,7.85430000,0.079000,0.250000,0.05400,56.92,1.05,HD 109271 b,
242,HD 109271,c,30.93000000,0.196000,0.150000,0.07600,56.92,1.05,HD 109271 c,
243,HD 109749,b,5.24000000,0.063500,0.010000,0.28000,59.03,1.20,HD 109749 b,
244,HD 110014,b,835.47700000,2.140000,0.462000,11.09000,90.00,2.17,HD 110014 b,
245,HD 111232,b,1143.00000000,1.970000,0.200000,6.80000,28.88,0.78,HD 111232 b,
246,HD 113337,b,324.00000000,0.920000,0.460000,2.83000,37.42,1.40,HD 113337 b,
247,HD 113538,b,663.20000000,1.240000,0.140000,0.36000,15.90,0.58,HD 113538 b,
248,HD 113538,c,1818.00000000,2.440000,0.200000,0.93000,15.90,0.58,HD 113538 c,
249,HD 114386,b,937.70000000,1.650000,0.230000,1.24000,28.04,0.68,HD 114386 b,
250,HD 114613,b,3827.00000000,5.160000,0.250000,0.48000,20.48,1.36,HD 114613 b,
251,HD 114729,b,1114.00000000,2.110000,0.167000,0.95000,35.00,1.00,HD 114729 b,
252,HD 114762,b,83.91510000,0.353000,0.335400,10.98000,40.57,0.83,HD 114762 b,
253,HD 114783,b,493.70000000,1.160000,0.144000,1.10000,20.40,0.85,HD 114783 b,
254,HD 11506,b,1627.50000000,2.708000,0.370000,4.21000,51.70,1.24,HD 11506 b,
255,HD 11506,c,223.60000000,0.721000,0.240000,0.36000,51.70,1.24,HD 11506 c,
256,HD 116029,b,670.00000000,1.780000,0.054000,2.10000,110.62,1.58,HD 116029 b,
257,HD 117207,b,2597.00000000,3.790000,0.144000,1.88000,33.01,1.08,HD 117207 b,
